date,RY.TO,TD.TO,BMO.TO,BNS.TO,CM.TO,NA.TO,XFN.TO,XIU.TO,ZEB.TO,^GSPC,^IXIC,^DJI,CADUSD=X,CL=F,GC=F,^GSPTSE,^VIX
2020-01-01,89.98601544752033,95.93284387630432,103.89722365821672,100.79925389145265,97.00743653435606,105.19892113620257,94.79623944728301,101.11090926189443,97.04344993296196,96.20240046625919,102.45990548279897,94.97765021779229,109.61458343097192,97.06560806396875,110.05583001155955,94.9179465400718,103.6615313404973
2020-01-02,89.59635046513951,95.95144867341348,103.10808058606132,99.76793755328129,96.5577843049837,104.08693885928939,93.9403464979611,99.78435924785315,96.27791272706077,95.78550884451593,101.75467787635601,95.40912389678527,108.7488595765201,96.01769614808696,109.80295584873156,94.41638939164842,106.1491126735589
2020-01-03,90.22160122675537,95.88521383193775,102.09840264688368,100.76036095679397,97.13797790975364,104.61448762671614,94.0422595325442,99.59164616083947,96.20668004990691,95.50647795870621,101.43637116821282,95.4719629320555,108.69548151667088,95.90363875366106,109.94212399035004,94.41873602092825,105.77312980999959
2020-01-06,89.2468355874946,95.64244664356264,102.76948830685156,100.16609174451948,96.70586822847477,105.07936705037551,93.76026710335523,98.70086774277507,96.40068652952456,95.17165210909751,101.8171324217728,95.54490295764779,107.56536320486202,94.95027106536531,110.53882168406065,93.90809151241277,106.44205594238365
2020-01-07,89.8082991065489,95.08077109029995,102.41539104450183,99.55738927619836,96.04945185916961,105.3026149892744,93.50259433327743,98.55412205433745,97.0595823666114,94.68346246160759,102.15482472513999,95.86246449489386,107.47744311250723,94.80322366889426,110.70335176985226,93.99001904502595,105.56802628009636
2020-01-08,89.59232304843867,96.4409914811184,102.37742038305689,100.54144047172213,95.61174042811224,105.14896170364531,94.00869019434319,98.77023606672023,97.05955262146716,93.77861021212964,102.5444559865033,96.9893842281,108.20468428992298,94.40446081867607,111.08763371885661,94.33119308882938,104.70122576739416
2020-01-09,88.59028711652807,95.88406639665705,99.21360268612825,99.12111663013566,94.51537855765528,103.88822884362885,92.86623734837843,97.37455816605843,94.3244353110851,93.22270756264899,101.57890521201392,95.87658349340768,106.64378693632067,93.30941294043738,108.9366356016043,93.77197265109928,107.29438532287556
2020-01-10,88.46888911339781,96.17221483720596,99.45300595732708,99.10873036816494,94.64164824340898,103.23243446016029,92.629930811629,97.07761282214244,94.31590682672449,93.42711971359009,101.84937839844466,95.89309196104749,106.02616468895343,93.25625858808843,108.53833683387626,92.71304944638551,108.06107380178983
2020-01-13,89.0165736646743,95.75750646851981,99.48336067437167,98.94018978778192,93.91901207999491,102.82121545007134,92.0883237926209,97.20355077680391,94.13628485034124,93.15258306072201,101.7318299538883,95.949964897867,106.38976670258616,92.33801977641026,108.34341487392052,93.32860391021205,108.71923059864942
2020-01-14,87.7627897202412,94.79981376617528,98.78698005221469,97.29022941825112,92.8451503173155,101.75632736275341,91.98643878709224,96.5220847041744,93.2182380959877,92.5844075280072,101.62573496920373,95.30677784315347,106.11420985958699,92.27116042553712,107.79550239105689,92.81042197404496,107.53570158246355
